,Station,Depth,Filter,MGT,Transcripts,Gene,Ocean_and_sea_regions,Reads_per_Kb_per_million_mapped_reads
331,76,DCM,5 to 20,44,0.0,alma1,South Atlantic Ocean,0.0
332,102,DCM,180 to 2000,44,0.0,alma1,South Pacific Ocean,0.0
333,102,DCM,180 to 2000,332,0.0,alma1,South Pacific Ocean,0.0
334,102,DCM,180 to 2000,58,5.1799999999999994e-08,alma1,South Pacific Ocean,51.8
335,41,DCM,20 to 180,188,0.0,alma1,Indian Ocean,0.0
336,41,DCM,20 to 180,166,0.0,alma1,Indian Ocean,0.0
337,41,DCM,20 to 180,46,1.74e-07,alma1,Indian Ocean,174.0
338,82,SRF,180 to 2000,74,5.2e-08,alma1,Southern Ocean (S of 40S),52.0
339,82,SRF,180 to 2000,85,1.2e-07,alma1,Southern Ocean (S of 40S),119.99999999999999
340,82,SRF,180 to 2000,13,1.43e-06,alma1,Southern Ocean (S of 40S),1430.0
341,82,SRF,180 to 2000,67,1.38e-06,alma1,Southern Ocean (S of 40S),1380.0
342,82,SRF,180 to 2000,30,0.0,alma1,Southern Ocean (S of 40S),0.0
343,82,SRF,180 to 2000,4,3.7e-07,alma1,Southern Ocean (S of 40S),370.0
344,82,SRF,180 to 2000,112,2.75e-07,alma1,Southern Ocean (S of 40S),275.0
345,46,SRF,180 to 2000,166,0.0,alma1,Indian Ocean,0.0
346,125,SRF,0.8 to 5,36,6.32e-08,alma1,South Pacific Ocean,63.199999999999996
347,125,SRF,0.8 to 5,44,0.0,alma1,South Pacific Ocean,0.0
348,125,SRF,0.8 to 5,2743,0.0,alma1,South Pacific Ocean,0.0
349,125,SRF,0.8 to 5,58,4.9e-07,alma1,South Pacific Ocean,489.99999999999994
350,125,SRF,0.8 to 5,66,0.0,alma1,South Pacific Ocean,0.0
351,137,SRF,0.8 to 5,58,1.6300000000000002e-07,alma1,North Pacific Ocean,163.00000000000003
352,137,SRF,0.8 to 5,4,0.0,alma1,North Pacific Ocean,0.0
353,137,SRF,0.8 to 5,225,0.0,alma1,North Pacific Ocean,0.0
354,137,SRF,0.8 to 5,36,2.27e-08,alma1,North Pacific Ocean,22.700000000000003
355,137,SRF,0.8 to 5,166,0.0,alma1,North Pacific Ocean,0.0
356,137,SRF,0.8 to 5,66,0.0,alma1,North Pacific Ocean,0.0
357,137,SRF,0.8 to 5,332,0.0,alma1,North Pacific Ocean,0.0
358,137,SRF,0.8 to 5,2743,0.0,alma1,North Pacific Ocean,0.0
359,137,SRF,0.8 to 5,179,0.0,alma1,North Pacific Ocean,0.0
360,137,SRF,0.8 to 5,44,0.0,alma1,North Pacific Ocean,0.0
361,122,SRF,0.8 to 5,44,0.0,alma1,South Pacific Ocean,0.0
362,122,SRF,0.8 to 5,58,9.9e-08,alma1,South Pacific Ocean,99.0
363,122,SRF,0.8 to 5,66,0.0,alma1,South Pacific Ocean,0.0
364,122,SRF,0.8 to 5,332,0.0,alma1,South Pacific Ocean,0.0
365,124,SRF,5 to 20,332,0.0,alma1,South Pacific Ocean,0.0
366,124,SRF,5 to 20,44,0.0,alma1,South Pacific Ocean,0.0
367,139,SRF,180 to 2000,44,0.0,alma1,North Pacific Ocean,0.0
368,41,DCM,5 to 20,178,2.74e-07,alma1,Indian Ocean,274.0
369,41,DCM,5 to 20,44,0.0,alma1,Indian Ocean,0.0
370,41,DCM,5 to 20,166,0.0,alma1,Indian Ocean,0.0
371,41,DCM,5 to 20,66,0.0,alma1,Indian Ocean,0.0
372,41,DCM,5 to 20,179,0.0,alma1,Indian Ocean,0.0
373,36,DCM,0.8 to 5,58,1.62e-07,alma1,Indian Ocean,162.0
374,36,DCM,0.8 to 5,188,0.0,alma1,Indian Ocean,0.0
375,36,DCM,0.8 to 5,166,0.0,alma1,Indian Ocean,0.0
376,36,DCM,0.8 to 5,36,8.5e-08,alma1,Indian Ocean,85.0
377,36,DCM,0.8 to 5,179,0.0,alma1,Indian Ocean,0.0
378,36,DCM,0.8 to 5,66,0.0,alma1,Indian Ocean,0.0
379,36,DCM,0.8 to 5,76,0.0,alma1,Indian Ocean,0.0
380,36,DCM,0.8 to 5,44,0.0,alma1,Indian Ocean,0.0
381,36,DCM,0.8 to 5,178,1.1599999999999999e-07,alma1,Indian Ocean,116.0
382,81,DCM,180 to 2000,112,4.5700000000000006e-08,alma1,Southern Ocean (S of 40S),45.7
383,81,DCM,180 to 2000,4,4.5700000000000006e-08,alma1,Southern Ocean (S of 40S),45.7
384,81,DCM,180 to 2000,67,2.4e-08,alma1,Southern Ocean (S of 40S),24.0
385,81,DCM,180 to 2000,58,0.0,alma1,Southern Ocean (S of 40S),0.0
386,81,DCM,180 to 2000,13,0.0,alma1,Southern Ocean (S of 40S),0.0
387,146,SRF,20 to 180,2493,1.62e-07,alma1,North Atlantic Ocean,162.0
388,146,SRF,20 to 180,12,3.1299999999999996e-08,alma1,North Atlantic Ocean,31.299999999999997
389,146,SRF,20 to 180,38,0.0,alma1,North Atlantic Ocean,0.0
390,41,SRF,20 to 180,46,9.050000000000001e-08,alma1,Indian Ocean,90.50000000000001
391,124,SRF,20 to 180,44,0.0,alma1,South Pacific Ocean,0.0
392,124,SRF,20 to 180,332,0.0,alma1,South Pacific Ocean,0.0
393,152,SRF,5 to 20,1255,0.0,alma1,North Atlantic Ocean,0.0
394,131,DCM,5 to 20,12,4.4800000000000004e-08,alma1,North Pacific Ocean,44.800000000000004
395,85,SRF,0.8 to 5,112,3.6799999999999996e-07,alma1,Southern Ocean (S of 40S),367.99999999999994
396,85,SRF,0.8 to 5,67,2.86e-06,alma1,Southern Ocean (S of 40S),2860.0
397,85,SRF,0.8 to 5,58,1.08e-07,alma1,Southern Ocean (S of 40S),108.0
398,85,SRF,0.8 to 5,4,6.92e-06,alma1,Southern Ocean (S of 40S),6920.0
399,85,SRF,0.8 to 5,85,2.75e-08,alma1,Southern Ocean (S of 40S),27.5
400,85,SRF,0.8 to 5,74,1.33e-07,alma1,Southern Ocean (S of 40S),133.0
401,85,SRF,0.8 to 5,30,9.5e-07,alma1,Southern Ocean (S of 40S),950.0
402,85,SRF,0.8 to 5,13,2.34e-06,alma1,Southern Ocean (S of 40S),2340.0
403,110,SRF,20 to 180,44,0.0,alma1,South Pacific Ocean,0.0
404,110,SRF,20 to 180,46,8.939999999999999e-08,alma1,South Pacific Ocean,89.39999999999999
405,110,SRF,20 to 180,58,3.27e-08,alma1,South Pacific Ocean,32.7
406,142,DCM,5 to 20,44,0.0,alma1,North Atlantic Ocean,0.0
407,65,SRF,5 to 20,46,1.99e-07,alma1,Indian Ocean,199.0
408,65,SRF,5 to 20,178,3.41e-08,alma1,Indian Ocean,34.1
409,68,SRF,0.8 to 5,2743,0.0,alma1,South Atlantic Ocean,0.0
410,68,SRF,0.8 to 5,66,0.0,alma1,South Atlantic Ocean,0.0
411,68,SRF,0.8 to 5,24,0.0,alma1,South Atlantic Ocean,0.0
412,68,SRF,0.8 to 5,13,0.0,alma1,South Atlantic Ocean,0.0
413,68,SRF,0.8 to 5,178,3.49e-08,alma1,South Atlantic Ocean,34.9
414,68,SRF,0.8 to 5,44,0.0,alma1,South Atlantic Ocean,0.0
415,68,SRF,0.8 to 5,747,0.0,alma1,South Atlantic Ocean,0.0
416,68,SRF,0.8 to 5,58,1.6399999999999999e-07,alma1,South Atlantic Ocean,164.0
417,68,SRF,0.8 to 5,36,1.0900000000000001e-07,alma1,South Atlantic Ocean,109.00000000000001
418,68,SRF,0.8 to 5,166,0.0,alma1,South Atlantic Ocean,0.0
419,68,SRF,0.8 to 5,225,0.0,alma1,South Atlantic Ocean,0.0
420,137,DCM,20 to 180,44,0.0,alma1,North Pacific Ocean,0.0
421,137,DCM,20 to 180,13,0.0,alma1,North Pacific Ocean,0.0
422,137,DCM,20 to 180,58,2.16e-08,alma1,North Pacific Ocean,21.6
423,137,DCM,20 to 180,35,2.7799999999999997e-08,alma1,North Pacific Ocean,27.799999999999997
424,137,DCM,20 to 180,46,1.83e-07,alma1,North Pacific Ocean,183.0
425,137,DCM,20 to 180,332,0.0,alma1,North Pacific Ocean,0.0
426,152,SRF,0.8 to 5,36,1.04e-07,alma1,North Atlantic Ocean,104.0
427,152,SRF,0.8 to 5,166,0.0,alma1,North Atlantic Ocean,0.0
428,152,SRF,0.8 to 5,29,0.0,alma1,North Atlantic Ocean,0.0
429,152,SRF,0.8 to 5,225,0.0,alma1,North Atlantic Ocean,0.0
430,152,SRF,0.8 to 5,58,1.24e-07,alma1,North Atlantic Ocean,124.0
431,152,SRF,0.8 to 5,44,0.0,alma1,North Atlantic Ocean,0.0
432,152,SRF,0.8 to 5,59,0.0,alma1,North Atlantic Ocean,0.0
433,152,SRF,0.8 to 5,2743,0.0,alma1,North Atlantic Ocean,0.0
434,152,SRF,0.8 to 5,179,0.0,alma1,North Atlantic Ocean,0.0
435,152,SRF,0.8 to 5,66,0.0,alma1,North Atlantic Ocean,0.0
436,76,SRF,180 to 2000,38,0.0,alma1,South Atlantic Ocean,0.0
437,76,SRF,180 to 2000,179,0.0,alma1,South Atlantic Ocean,0.0
438,76,SRF,180 to 2000,2493,3.2e-08,alma1,South Atlantic Ocean,32.0
439,76,SRF,180 to 2000,166,0.0,alma1,South Atlantic Ocean,0.0
440,146,SRF,0.8 to 5,66,0.0,alma1,North Atlantic Ocean,0.0
441,146,SRF,0.8 to 5,44,0.0,alma1,North Atlantic Ocean,0.0
442,146,SRF,0.8 to 5,178,1.05e-07,alma1,North Atlantic Ocean,105.0
443,146,SRF,0.8 to 5,12,4.3899999999999996e-08,alma1,North Atlantic Ocean,43.9
444,146,SRF,0.8 to 5,58,1.1800000000000001e-07,alma1,North Atlantic Ocean,118.00000000000001
445,146,SRF,0.8 to 5,4,6.48e-08,alma1,North Atlantic Ocean,64.8
446,146,SRF,0.8 to 5,112,6.48e-08,alma1,North Atlantic Ocean,64.8
447,146,SRF,0.8 to 5,225,0.0,alma1,North Atlantic Ocean,0.0
448,146,SRF,0.8 to 5,166,0.0,alma1,North Atlantic Ocean,0.0
449,146,SRF,0.8 to 5,36,8.380000000000001e-08,alma1,North Atlantic Ocean,83.80000000000001
450,144,SRF,180 to 2000,2493,8.57e-08,alma1,North Atlantic Ocean,85.7
451,144,SRF,180 to 2000,38,0.0,alma1,North Atlantic Ocean,0.0
452,144,SRF,180 to 2000,46,3.59e-08,alma1,North Atlantic Ocean,35.9
453,52,DCM,180 to 2000,38,0.0,alma1,Indian Ocean,0.0
454,52,DCM,180 to 2000,2493,4.75e-08,alma1,Indian Ocean,47.5
455,52,DCM,180 to 2000,44,0.0,alma1,Indian Ocean,0.0
456,132,SRF,5 to 20,46,6.070000000000001e-08,alma1,North Pacific Ocean,60.70000000000001
457,72,SRF,5 to 20,13,2.8999999999999998e-08,alma1,South Atlantic Ocean,29.0
458,72,SRF,5 to 20,38,0.0,alma1,South Atlantic Ocean,0.0
459,72,SRF,5 to 20,4,0.0,alma1,South Atlantic Ocean,0.0
460,72,SRF,5 to 20,1580,5.76e-08,alma1,South Atlantic Ocean,57.6
461,72,SRF,5 to 20,67,8.33e-08,alma1,South Atlantic Ocean,83.3
462,100,SRF,5 to 20,2743,0.0,alma1,South Pacific Ocean,0.0
463,100,SRF,5 to 20,58,0.0,alma1,South Pacific Ocean,0.0
464,100,SRF,5 to 20,12,2.65e-08,alma1,South Pacific Ocean,26.5
465,100,SRF,5 to 20,44,0.0,alma1,South Pacific Ocean,0.0
466,36,DCM,20 to 180,188,0.0,alma1,Indian Ocean,0.0
467,36,DCM,20 to 180,166,0.0,alma1,Indian Ocean,0.0
468,36,DCM,20 to 180,58,0.0,alma1,Indian Ocean,0.0
469,36,DCM,20 to 180,46,2.74e-07,alma1,Indian Ocean,274.0
470,36,DCM,20 to 180,179,0.0,alma1,Indian Ocean,0.0
471,76,DCM,180 to 2000,38,0.0,alma1,South Atlantic Ocean,0.0
472,138,DCM,5 to 20,44,0.0,alma1,North Pacific Ocean,0.0
473,138,DCM,5 to 20,166,0.0,alma1,North Pacific Ocean,0.0
474,138,DCM,5 to 20,12,2.63e-08,alma1,North Pacific Ocean,26.3
475,138,DCM,5 to 20,35,6.440000000000001e-08,alma1,North Pacific Ocean,64.4
476,138,DCM,5 to 20,46,8.44e-08,alma1,North Pacific Ocean,84.4
477,138,DCM,5 to 20,332,0.0,alma1,North Pacific Ocean,0.0
478,22,DCM,20 to 180,12,8.540000000000001e-07,alma1,Mediterranean Sea,854.0000000000001
479,22,DCM,20 to 180,35,1.73e-07,alma1,Mediterranean Sea,173.0
480,38,SRF,0.8 to 5,179,0.0,alma1,Indian Ocean,0.0
481,38,SRF,0.8 to 5,66,0.0,alma1,Indian Ocean,0.0
482,38,SRF,0.8 to 5,36,9.810000000000001e-08,alma1,Indian Ocean,98.10000000000001
483,38,SRF,0.8 to 5,166,0.0,alma1,Indian Ocean,0.0
484,38,SRF,0.8 to 5,188,0.0,alma1,Indian Ocean,0.0
485,38,SRF,0.8 to 5,44,0.0,alma1,Indian Ocean,0.0
486,132,SRF,180 to 2000,38,0.0,alma1,North Pacific Ocean,0.0
487,23,SRF,0.8 to 5,36,1.7600000000000001e-07,alma1,Mediterranean Sea,176.00000000000003
488,23,SRF,0.8 to 5,2743,0.0,alma1,Mediterranean Sea,0.0
489,23,SRF,0.8 to 5,66,0.0,alma1,Mediterranean Sea,0.0
490,67,SRF,180 to 2000,44,0.0,alma1,South Atlantic Ocean,0.0
491,132,DCM,5 to 20,12,1.34e-07,alma1,North Pacific Ocean,134.0
492,128,SRF,180 to 2000,44,0.0,alma1,North Pacific Ocean,0.0
493,128,SRF,180 to 2000,166,0.0,alma1,North Pacific Ocean,0.0
494,128,SRF,180 to 2000,332,0.0,alma1,North Pacific Ocean,0.0
495,83,SRF,5 to 20,112,4.9900000000000003e-08,alma1,Southern Ocean (S of 40S),49.900000000000006
496,83,SRF,5 to 20,67,9.66e-08,alma1,Southern Ocean (S of 40S),96.60000000000001
497,83,SRF,5 to 20,4,9.8e-08,alma1,Southern Ocean (S of 40S),98.0
498,83,SRF,5 to 20,13,2.55e-07,alma1,Southern Ocean (S of 40S),255.0
499,39,SRF,180 to 2000,166,0.0,alma1,Indian Ocean,0.0
500,68,DCM,0.8 to 5,58,1.9e-07,alma1,South Atlantic Ocean,190.0
501,68,DCM,0.8 to 5,166,0.0,alma1,South Atlantic Ocean,0.0
502,68,DCM,0.8 to 5,36,1.68e-07,alma1,South Atlantic Ocean,168.0
503,68,DCM,0.8 to 5,188,0.0,alma1,South Atlantic Ocean,0.0
504,68,DCM,0.8 to 5,66,0.0,alma1,South Atlantic Ocean,0.0
505,68,DCM,0.8 to 5,179,0.0,alma1,South Atlantic Ocean,0.0
506,68,DCM,0.8 to 5,332,0.0,alma1,South Atlantic Ocean,0.0
507,68,DCM,0.8 to 5,2743,0.0,alma1,South Atlantic Ocean,0.0
508,68,DCM,0.8 to 5,178,7.31e-08,alma1,South Atlantic Ocean,73.1
509,68,DCM,0.8 to 5,59,0.0,alma1,South Atlantic Ocean,0.0
510,68,DCM,0.8 to 5,44,0.0,alma1,South Atlantic Ocean,0.0
511,68,DCM,0.8 to 5,24,0.0,alma1,South Atlantic Ocean,0.0
512,68,DCM,0.8 to 5,12,2.3500000000000002e-08,alma1,South Atlantic Ocean,23.500000000000004
513,144,SRF,20 to 180,12,1.55e-07,alma1,North Atlantic Ocean,155.0
514,144,SRF,20 to 180,178,5.26e-08,alma1,North Atlantic Ocean,52.6
515,144,SRF,20 to 180,44,0.0,alma1,North Atlantic Ocean,0.0
516,132,DCM,180 to 2000,38,0.0,alma1,North Pacific Ocean,0.0
517,36,DCM,5 to 20,166,0.0,alma1,Indian Ocean,0.0
518,36,DCM,5 to 20,179,0.0,alma1,Indian Ocean,0.0
519,36,DCM,5 to 20,46,2.63e-07,alma1,Indian Ocean,263.0
520,111,DCM,5 to 20,178,5.8200000000000005e-08,alma1,South Pacific Ocean,58.2
521,111,DCM,5 to 20,44,0.0,alma1,South Pacific Ocean,0.0
522,111,DCM,5 to 20,24,0.0,alma1,South Pacific Ocean,0.0
523,111,DCM,5 to 20,66,0.0,alma1,South Pacific Ocean,0.0
524,111,DCM,5 to 20,1580,1.3900000000000001e-07,alma1,South Pacific Ocean,139.0
525,111,DCM,5 to 20,179,0.0,alma1,South Pacific Ocean,0.0
526,111,DCM,5 to 20,166,0.0,alma1,South Pacific Ocean,0.0
527,111,DCM,5 to 20,36,1.55e-07,alma1,South Pacific Ocean,155.0
528,111,DCM,5 to 20,188,0.0,alma1,South Pacific Ocean,0.0
529,111,DCM,5 to 20,58,6.79e-08,alma1,South Pacific Ocean,67.9
530,111,DCM,5 to 20,38,0.0,alma1,South Pacific Ocean,0.0
531,92,SRF,5 to 20,13,0.0,alma1,South Pacific Ocean,0.0
532,92,SRF,5 to 20,4,4.1900000000000005e-08,alma1,South Pacific Ocean,41.900000000000006
533,92,SRF,5 to 20,67,0.0,alma1,South Pacific Ocean,0.0
534,92,SRF,5 to 20,58,0.0,alma1,South Pacific Ocean,0.0
535,147,SRF,180 to 2000,38,0.0,alma1,North Atlantic Ocean,0.0
536,147,SRF,180 to 2000,2493,6.99e-06,alma1,North Atlantic Ocean,6990.0
537,150,DCM,20 to 180,12,1.7e-07,alma1,North Atlantic Ocean,170.0
538,150,DCM,20 to 180,2493,5.75e-08,alma1,North Atlantic Ocean,57.5
539,150,DCM,20 to 180,46,6.03e-08,alma1,North Atlantic Ocean,60.300000000000004
540,78,SRF,5 to 20,44,0.0,alma1,South Atlantic Ocean,0.0
541,110,DCM,180 to 2000,44,0.0,alma1,South Pacific Ocean,0.0
542,84,SRF,0.8 to 5,112,1.26e-07,alma1,Southern Ocean (S of 40S),125.99999999999999
543,84,SRF,0.8 to 5,30,2.47e-07,alma1,Southern Ocean (S of 40S),246.99999999999997
544,84,SRF,0.8 to 5,67,1.2e-06,alma1,Southern Ocean (S of 40S),1200.0
545,84,SRF,0.8 to 5,4,1.16e-06,alma1,Southern Ocean (S of 40S),1160.0
546,84,SRF,0.8 to 5,85,2.33e-07,alma1,Southern Ocean (S of 40S),233.0
547,84,SRF,0.8 to 5,13,1.41e-06,alma1,Southern Ocean (S of 40S),1410.0
548,84,SRF,0.8 to 5,74,1.33e-07,alma1,Southern Ocean (S of 40S),133.0
549,135,DCM,180 to 2000,188,0.0,alma1,North Pacific Ocean,0.0
550,135,DCM,180 to 2000,166,0.0,alma1,North Pacific Ocean,0.0
551,135,DCM,180 to 2000,2493,2.0699999999999997e-08,alma1,North Pacific Ocean,20.699999999999996
552,135,DCM,180 to 2000,179,0.0,alma1,North Pacific Ocean,0.0
553,135,DCM,180 to 2000,38,0.0,alma1,North Pacific Ocean,0.0
554,135,DCM,180 to 2000,58,0.0,alma1,North Pacific Ocean,0.0
555,128,DCM,5 to 20,58,0.0,alma1,North Pacific Ocean,0.0
556,128,DCM,5 to 20,1255,0.0,alma1,North Pacific Ocean,0.0
557,128,DCM,5 to 20,44,0.0,alma1,North Pacific Ocean,0.0
558,128,DCM,5 to 20,166,0.0,alma1,North Pacific Ocean,0.0
559,72,DCM,5 to 20,12,3.72e-08,alma1,South Atlantic Ocean,37.2
560,72,DCM,5 to 20,13,1.25e-07,alma1,South Atlantic Ocean,125.0
561,72,DCM,5 to 20,1580,1.08e-07,alma1,South Atlantic Ocean,108.0
562,23,DCM,0.8 to 5,2743,0.0,alma1,Mediterranean Sea,0.0
563,23,DCM,0.8 to 5,66,0.0,alma1,Mediterranean Sea,0.0
564,23,DCM,0.8 to 5,58,3.3e-08,alma1,Mediterranean Sea,33.0
565,23,DCM,0.8 to 5,36,3.32e-07,alma1,Mediterranean Sea,332.0
566,23,DCM,0.8 to 5,178,3.52e-08,alma1,Mediterranean Sea,35.199999999999996
567,23,DCM,0.8 to 5,225,0.0,alma1,Mediterranean Sea,0.0
568,123,SRF,180 to 2000,44,0.0,alma1,South Pacific Ocean,0.0
569,123,SRF,180 to 2000,332,0.0,alma1,South Pacific Ocean,0.0
570,132,DCM,0.8 to 5,188,0.0,alma1,North Pacific Ocean,0.0
571,132,DCM,0.8 to 5,12,4.4900000000000005e-08,alma1,North Pacific Ocean,44.900000000000006
572,132,DCM,0.8 to 5,166,0.0,alma1,North Pacific Ocean,0.0
573,132,DCM,0.8 to 5,44,0.0,alma1,North Pacific Ocean,0.0
574,132,DCM,0.8 to 5,332,0.0,alma1,North Pacific Ocean,0.0
575,132,DCM,0.8 to 5,179,0.0,alma1,North Pacific Ocean,0.0
576,132,DCM,0.8 to 5,58,1.57e-07,alma1,North Pacific Ocean,157.0
577,36,DCM,180 to 2000,166,0.0,alma1,Indian Ocean,0.0
578,36,DCM,180 to 2000,179,0.0,alma1,Indian Ocean,0.0
579,85,DCM,180 to 2000,74,1.5199999999999998e-07,alma1,Southern Ocean (S of 40S),151.99999999999997
580,85,DCM,180 to 2000,85,3.9e-08,alma1,Southern Ocean (S of 40S),39.0
581,85,DCM,180 to 2000,13,3.5200000000000003e-07,alma1,Southern Ocean (S of 40S),352.00000000000006
582,85,DCM,180 to 2000,67,5e-07,alma1,Southern Ocean (S of 40S),500.0
583,85,DCM,180 to 2000,30,2.65e-07,alma1,Southern Ocean (S of 40S),265.0
584,85,DCM,180 to 2000,4,1.08e-06,alma1,Southern Ocean (S of 40S),1080.0
585,85,DCM,180 to 2000,112,8.77e-07,alma1,Southern Ocean (S of 40S),877.0
586,151,DCM,20 to 180,46,2.05e-07,alma1,North Atlantic Ocean,205.0
587,151,DCM,20 to 180,35,3.2900000000000003e-08,alma1,North Atlantic Ocean,32.900000000000006
588,151,DCM,20 to 180,12,1.59e-07,alma1,North Atlantic Ocean,159.0
589,151,DCM,20 to 180,2493,2.2000000000000002e-08,alma1,North Atlantic Ocean,22.000000000000004
590,98,SRF,5 to 20,44,0.0,alma1,South Pacific Ocean,0.0
591,98,SRF,5 to 20,46,1.26e-07,alma1,South Pacific Ocean,125.99999999999999
592,36,SRF,20 to 180,46,4.3100000000000003e-07,alma1,Indian Ocean,431.00000000000006
593,36,SRF,20 to 180,179,0.0,alma1,Indian Ocean,0.0
594,36,SRF,20 to 180,188,0.0,alma1,Indian Ocean,0.0
595,36,SRF,20 to 180,166,0.0,alma1,Indian Ocean,0.0
596,124,SRF,0.8 to 5,2743,0.0,alma1,South Pacific Ocean,0.0
597,124,SRF,0.8 to 5,58,3.5799999999999995e-07,alma1,South Pacific Ocean,357.99999999999994
598,124,SRF,0.8 to 5,76,0.0,alma1,South Pacific Ocean,0.0
599,124,SRF,0.8 to 5,66,0.0,alma1,South Pacific Ocean,0.0
600,124,SRF,0.8 to 5,36,0.0,alma1,South Pacific Ocean,0.0
601,124,SRF,0.8 to 5,44,0.0,alma1,South Pacific Ocean,0.0
602,124,SRF,0.8 to 5,225,0.0,alma1,South Pacific Ocean,0.0
603,151,SRF,20 to 180,46,1.8600000000000002e-07,alma1,North Atlantic Ocean,186.00000000000003
604,151,SRF,20 to 180,2493,3.91e-08,alma1,North Atlantic Ocean,39.1
605,151,SRF,20 to 180,12,3.88e-08,alma1,North Atlantic Ocean,38.8
606,109,SRF,20 to 180,44,0.0,alma1,North Pacific Ocean,0.0
607,109,SRF,20 to 180,166,0.0,alma1,North Pacific Ocean,0.0
608,109,SRF,20 to 180,46,2.12e-08,alma1,North Pacific Ocean,21.200000000000003
609,39,DCM,0.8 to 5,188,0.0,alma1,Indian Ocean,0.0
610,39,DCM,0.8 to 5,36,4.8e-08,alma1,Indian Ocean,48.0
611,39,DCM,0.8 to 5,166,0.0,alma1,Indian Ocean,0.0
612,39,DCM,0.8 to 5,4,1.1599999999999999e-07,alma1,Indian Ocean,116.0
613,39,DCM,0.8 to 5,44,0.0,alma1,Indian Ocean,0.0
614,39,DCM,0.8 to 5,178,1.53e-07,alma1,Indian Ocean,153.0
615,39,DCM,0.8 to 5,66,0.0,alma1,Indian Ocean,0.0
616,39,DCM,0.8 to 5,179,0.0,alma1,Indian Ocean,0.0
617,128,SRF,20 to 180,332,0.0,alma1,North Pacific Ocean,0.0
618,128,SRF,20 to 180,44,0.0,alma1,North Pacific Ocean,0.0
619,124,SRF,180 to 2000,2493,4.3300000000000004e-08,alma1,South Pacific Ocean,43.300000000000004
620,124,SRF,180 to 2000,44,0.0,alma1,South Pacific Ocean,0.0
621,124,SRF,180 to 2000,58,0.0,alma1,South Pacific Ocean,0.0
622,85,DCM,5 to 20,13,2.41e-07,alma1,Southern Ocean (S of 40S),241.0
623,85,DCM,5 to 20,74,5.28e-07,alma1,Southern Ocean (S of 40S),528.0
624,85,DCM,5 to 20,112,1.19e-06,alma1,Southern Ocean (S of 40S),1190.0
625,85,DCM,5 to 20,30,6.32e-07,alma1,Southern Ocean (S of 40S),632.0
626,85,DCM,5 to 20,67,4.79e-07,alma1,Southern Ocean (S of 40S),479.0
627,85,DCM,5 to 20,4,1.32e-06,alma1,Southern Ocean (S of 40S),1320.0
628,110,SRF,180 to 2000,44,0.0,alma1,South Pacific Ocean,0.0
629,110,SRF,180 to 2000,38,0.0,alma1,South Pacific Ocean,0.0
630,110,SRF,180 to 2000,332,0.0,alma1,South Pacific Ocean,0.0
631,135,DCM,5 to 20,179,0.0,alma1,North Pacific Ocean,0.0
632,135,DCM,5 to 20,38,0.0,alma1,North Pacific Ocean,0.0
633,135,DCM,5 to 20,1255,0.0,alma1,North Pacific Ocean,0.0
634,135,DCM,5 to 20,166,0.0,alma1,North Pacific Ocean,0.0
635,135,DCM,5 to 20,12,1.25e-07,alma1,North Pacific Ocean,125.0
636,135,DCM,5 to 20,188,0.0,alma1,North Pacific Ocean,0.0
637,135,DCM,5 to 20,44,0.0,alma1,North Pacific Ocean,0.0
638,30,SRF,180 to 2000,2493,5.51e-08,alma1,Mediterranean Sea,55.099999999999994
639,151,SRF,180 to 2000,2493,1.0099999999999999e-07,alma1,North Atlantic Ocean,100.99999999999999
640,25,DCM,5 to 20,12,8.269999999999999e-08,alma1,Mediterranean Sea,82.69999999999999
641,72,DCM,0.8 to 5,58,1.36e-07,alma1,South Atlantic Ocean,136.0
642,72,DCM,0.8 to 5,188,0.0,alma1,South Atlantic Ocean,0.0
643,72,DCM,0.8 to 5,36,2.57e-07,alma1,South Atlantic Ocean,257.0
644,72,DCM,0.8 to 5,166,0.0,alma1,South Atlantic Ocean,0.0
645,72,DCM,0.8 to 5,2743,0.0,alma1,South Atlantic Ocean,0.0
646,72,DCM,0.8 to 5,332,0.0,alma1,South Atlantic Ocean,0.0
647,72,DCM,0.8 to 5,179,0.0,alma1,South Atlantic Ocean,0.0
648,72,DCM,0.8 to 5,66,0.0,alma1,South Atlantic Ocean,0.0
649,72,DCM,0.8 to 5,44,0.0,alma1,South Atlantic Ocean,0.0
650,68,SRF,180 to 2000,44,0.0,alma1,South Atlantic Ocean,0.0
651,68,SRF,180 to 2000,58,2.8e-08,alma1,South Atlantic Ocean,28.0
652,80,DCM,20 to 180,46,1.32e-07,alma1,Southern Ocean (S of 40S),132.0
653,80,DCM,20 to 180,12,3.41e-07,alma1,Southern Ocean (S of 40S),341.0
654,80,DCM,20 to 180,59,0.0,alma1,Southern Ocean (S of 40S),0.0
655,98,SRF,20 to 180,46,5.6100000000000006e-08,alma1,South Pacific Ocean,56.10000000000001
656,98,SRF,20 to 180,12,5.6600000000000004e-08,alma1,South Pacific Ocean,56.6
657,98,SRF,20 to 180,44,0.0,alma1,South Pacific Ocean,0.0
658,149,SRF,180 to 2000,38,0.0,alma1,North Atlantic Ocean,0.0
659,149,SRF,180 to 2000,2493,1.1800000000000001e-07,alma1,North Atlantic Ocean,118.00000000000001
660,52,DCM,20 to 180,46,5.84e-08,alma1,Indian Ocean,58.4
